date,number_cases_sold,cookie_type,troop_id,number_of_girls,period,SU Name,SU #
2020,77.75,Thin Mints,1,8,1,Irvington/Fountain,625
2024,3.083333333,"Toffee-
tastic",1,4,5,Irvington/Fountain Square,625
2024,9.083333333,Trefoils,1,4,5,Irvington/Fountain Square,625
2024,54.25,Thin Mints,1,4,5,Irvington/Fountain Square,625
2024,21.41666667,"Do-Si-
Dos",1,4,5,Irvington/Fountain Square,625
2024,26.5,Samoas,1,4,5,Irvington/Fountain Square,625
2024,12.91666667,Adventurefuls,1,4,5,Irvington/Fountain Square,625
2022,7.583333333,"Toffee-
tastic",1,7,3,Irvington/Fountain Square,625
2023,57.83333333,Tagalongs,1,9,4,Irvington/Fountain Square,625
2023,25.5,Lemon-Ups,1,9,4,Irvington/Fountain Square,625
2023,14.0,"Toffee-
tastic",1,9,4,Irvington/Fountain Square,625
2023,36.0,Trefoils,1,9,4,Irvington/Fountain Square,625
2023,89.25,Thin Mints,1,9,4,Irvington/Fountain Square,625
2023,46.58333333,"Do-Si-
Dos",1,9,4,Irvington/Fountain Square,625
2024,8.166666667,Lemon-Ups,1,4,5,Irvington/Fountain Square,625
2023,55.0,Samoas,1,9,4,Irvington/Fountain Square,625
2021,73.91666667,Thin Mints,1,7,2,Irvington/Fountain Square,625
2021,17.25,Lemon-Ups,1,7,2,Irvington/Fountain Square,625
2021,24.75,Trefoils,1,7,2,Irvington/Fountain Square,625
2021,30.5,"Do-Si-
Dos",1,7,2,Irvington/Fountain Square,625
2021,49.5,Samoas,1,7,2,Irvington/Fountain Square,625
2021,12.0,"Toffee-
tastic",1,7,2,Irvington/Fountain Square,625
2021,40.75,Tagalongs,1,7,2,Irvington/Fountain Square,625
2022,46.58333333,"Do-Si-
Dos",1,7,3,Irvington/Fountain Square,625
2022,46.33333333,Tagalongs,1,7,3,Irvington/Fountain Square,625
2022,25.75,Trefoils,1,7,3,Irvington/Fountain Square,625
2022,20.41666667,Lemon-Ups,1,7,3,Irvington/Fountain Square,625
2022,41.0,Samoas,1,7,3,Irvington/Fountain Square,625
2022,22.33333333,Adventurefuls,1,7,3,Irvington/Fountain Square,625
2023,45.33333333,Adventurefuls,1,9,4,Irvington/Fountain Square,625
